id,pert,gene,label
Rel_Cd72,Rel,Cd72,none
Actr10_Slc25a4,Actr10,Slc25a4,none
Sfpq_Brd2,Sfpq,Brd2,none
Paf1_Gm1673,Paf1,Gm1673,up
Ss18_Fgl2,Ss18,Fgl2,down
Slc33a1_Tram1,Slc33a1,Tram1,up
Trrap_Trim12c,Trrap,Trim12c,up
Rraga_Lrp1,Rraga,Lrp1,none
Ppp2r2a_Fmnl2,Ppp2r2a,Fmnl2,down
Gpn2_Syngr1,Gpn2,Syngr1,up
Orc4_Smpdl3a,Orc4,Smpdl3a,none
Dido1_Mylip,Dido1,Mylip,none
Atg9a_P2ry14,Atg9a,P2ry14,none
Srcap_Timp2,Srcap,Timp2,up
Traf3_Acp5,Traf3,Acp5,up
Wtap_Rdx,Wtap,Rdx,none
Rheb_Ccl2,Rheb,Ccl2,down
Hsp90b1_Ccnd1,Hsp90b1,Ccnd1,up
Gtf2h1_Cotl1,Gtf2h1,Cotl1,none
Kras_Gadd45b,Kras,Gadd45b,up
Gins4_Map3k8,Gins4,Map3k8,none
Dusp1_Alcam,Dusp1,Alcam,none
Actr2_Gde1,Actr2,Gde1,up
Actl6a_Cd36,Actl6a,Cd36,up
Rpl35_AA467197,Rpl35,AA467197,none
Ncbp1_Cd48,Ncbp1,Cd48,down
Dhx15_Gm21188,Dhx15,Gm21188,none
Actr2_Slamf9,Actr2,Slamf9,down
Tirap_Ifitm2,Tirap,Ifitm2,down
Rps26_Cmpk2,Rps26,Cmpk2,up
Ctdnep1_Ifit3b,Ctdnep1,Ifit3b,none
Aip_Cd14,Aip,Cd14,up
Dda1_Plekha3,Dda1,Plekha3,up
Cdc42_Slco4a1,Cdc42,Slco4a1,none
Stk11_Prdx1,Stk11,Prdx1,none
Ptpn2_Tax1bp1,Ptpn2,Tax1bp1,up
Strap_H2aj,Strap,H2aj,up
Rtf1_Parp3,Rtf1,Parp3,none
Egln1_Ero1a,Egln1,Ero1a,up
Ddx6_Folr2,Ddx6,Folr2,up
Eif2s1_Pf4,Eif2s1,Pf4,none
Rps26_Slc25a4,Rps26,Slc25a4,none
Usp9x_Chchd10,Usp9x,Chchd10,up
Ash2l_Clec4n,Ash2l,Clec4n,none
Klf6_Cd36,Klf6,Cd36,up
Fli1_Il2rg,Fli1,Il2rg,down
Acin1_Rabac1,Acin1,Rabac1,none
Fermt3_Adra1a,Fermt3,Adra1a,none
Alg2_Pdia3,Alg2,Pdia3,up
Hsp90ab1_Ms4a4c,Hsp90ab1,Ms4a4c,none
Urm1_Rsad2,Urm1,Rsad2,none
Sptssa_Ms4a6b,Sptssa,Ms4a6b,none
Gosr2_Slamf7,Gosr2,Slamf7,none
Rcl1_Ms4a6b,Rcl1,Ms4a6b,none
Sbno2_Gsr,Sbno2,Gsr,none
Gins2_Saa3,Gins2,Saa3,down
Actl6a_Sdc1,Actl6a,Sdc1,none
Nckap1l_Hsp90b1,Nckap1l,Hsp90b1,none
Irf8_Lmo2,Irf8,Lmo2,up
Mafb_Lgals3,Mafb,Lgals3,none
Eif4a1_Eif5,Eif4a1,Eif5,up
Ppp2r1a_H2-Q7,Ppp2r1a,H2-Q7,up
Ctcf_Fez2,Ctcf,Fez2,none
Setd2_Lpp,Setd2,Lpp,up
Pias1_Osbpl3,Pias1,Osbpl3,none
Rpn1_Gm44190,Rpn1,Gm44190,none
Telo2_Npc1,Telo2,Npc1,none
Eny2_Bcl2l11,Eny2,Bcl2l11,up
Cnot2_Cd69,Cnot2,Cd69,up
Sptlc1_Morrbid,Sptlc1,Morrbid,none
Emc3_Hsd3b7,Emc3,Hsd3b7,none
Xpo1_Lipa,Xpo1,Lipa,none
Gnb2_Gm11613,Gnb2,Gm11613,none
Psmd13_Ccl6,Psmd13,Ccl6,none
Urm1_Ms4a4c,Urm1,Ms4a4c,none
Kdm1a_Fos,Kdm1a,Fos,none
Tcp1_Batf2,Tcp1,Batf2,none
Dohh_Saa3,Dohh,Saa3,none
Prpf40a_Trib3,Prpf40a,Trib3,none
Ndc80_Csf3r,Ndc80,Csf3r,none
Mbd2_Ms4a4c,Mbd2,Ms4a4c,none
Ints9_Ifit3,Ints9,Ifit3,down
Actr6_Cd36,Actr6,Cd36,none
Xpo1_Slc16a6,Xpo1,Slc16a6,up
Ube4b_Tspan13,Ube4b,Tspan13,up
Srrd_Pnp,Srrd,Pnp,none
Leo1_Atp13a2,Leo1,Atp13a2,none
Prdm1_Pld4,Prdm1,Pld4,none
Nob1_Cd72,Nob1,Cd72,none
Gosr2_Zswim4,Gosr2,Zswim4,none
Telo2_Tbrg1,Telo2,Tbrg1,none
Vps4b_Ly6i,Vps4b,Ly6i,none
Brd2_Hcar2,Brd2,Hcar2,none
Dync1i2_Fgd2,Dync1i2,Fgd2,none
Paf1_Itpkb,Paf1,Itpkb,none
Top3a_Npy,Top3a,Npy,none
Rraga_Selenow,Rraga,Selenow,none
Exosc7_Gm57397,Exosc7,Gm57397,up
Pfn1_Mmp12,Pfn1,Mmp12,none
Otud5_Acod1,Otud5,Acod1,none
Top3a_Ckb,Top3a,Ckb,none
Traf6_Urah,Traf6,Urah,up
Syvn1_Lysmd2,Syvn1,Lysmd2,none
Ddx5_Noct,Ddx5,Noct,up
Acin1_Fap,Acin1,Fap,up
Dda1_Timp2,Dda1,Timp2,none
Usp9x_Tpd52l1,Usp9x,Tpd52l1,none
Xpo1_Xpo1,Xpo1,Xpo1,up
Rpl10_Klhl24,Rpl10,Klhl24,none
Gtf2a2_Vcan,Gtf2a2,Vcan,none
Plrg1_Lgals3,Plrg1,Lgals3,up
Wdr48_Cotl1,Wdr48,Cotl1,down
Rpp21_Phgdh,Rpp21,Phgdh,up
Kars_Ccl9,Kars,Ccl9,down
Ube2m_Maf,Ube2m,Maf,none
Dync1h1_Tubb6,Dync1h1,Tubb6,none
Clp1_Ms4a4c,Clp1,Ms4a4c,down
Rpl35_Tcf4,Rpl35,Tcf4,up
Mau2_Rarg,Mau2,Rarg,none
Ddost_Clec4d,Ddost,Clec4d,none
Vps4b_Zfp697,Vps4b,Zfp697,none
Irak4_Lrrc25,Irak4,Lrrc25,down
Exoc5_Fgl2,Exoc5,Fgl2,down
Mafb_Cd44,Mafb,Cd44,none
Taf5l_Nqo1,Taf5l,Nqo1,none
Ube4b_Prdx5,Ube4b,Prdx5,none
Cmtr1_Syngr1,Cmtr1,Syngr1,none
Klf6_Zfyve27,Klf6,Zfyve27,none
Rela_Depdc1a,Rela,Depdc1a,none
Sec62_H2-M2,Sec62,H2-M2,up
Prpf19_Creld2,Prpf19,Creld2,none
Qars_Hipk1,Qars,Hipk1,up
Srcap_Ifrd2,Srcap,Ifrd2,none
Med25_H2az1,Med25,H2az1,up
Ppp6c_Socs3,Ppp6c,Socs3,none
Dda1_Stmn1,Dda1,Stmn1,none
Rtf1_Odc1,Rtf1,Odc1,up
Rela_Il1rn,Rela,Il1rn,none
Vps72_Slc25a4,Vps72,Slc25a4,down
Ankrd11_Plxdc2,Ankrd11,Plxdc2,down
Rhoa_Cyb5r1,Rhoa,Cyb5r1,none
Becn1_Gsta3,Becn1,Gsta3,up
Hyou1_Clec4d,Hyou1,Clec4d,none
Vps72_Npy,Vps72,Npy,up
Wdr5_Nup54,Wdr5,Nup54,none
Il10rb_Ggta1,Il10rb,Ggta1,down
Rps26_Blvrb,Rps26,Blvrb,down
Tyrobp_Selenop,Tyrobp,Selenop,up
Sfpq_Hspa1b,Sfpq,Hspa1b,none
Irf8_Pbxip1,Irf8,Pbxip1,none
Mau2_Lipa,Mau2,Lipa,up
Rae1_Srebf2,Rae1,Srebf2,none
Rbck1_Cmpk2,Rbck1,Cmpk2,none
Rbm14_Scpep1,Rbm14,Scpep1,none
Urm1_Ctsl,Urm1,Ctsl,none
Hyou1_Dclre1b,Hyou1,Dclre1b,none
Ints9_Pck2,Ints9,Pck2,none
Ppp2r1a_Trim30c,Ppp2r1a,Trim30c,up
Sars_Polr3h,Sars,Polr3h,none
Hsp90b1_AA467197,Hsp90b1,AA467197,none
Atp6v1b2_Actb,Atp6v1b2,Actb,down
Rae1_Tmem40,Rae1,Tmem40,none
Mettl3_Atf5,Mettl3,Atf5,none
Pik3r4_Creg1,Pik3r4,Creg1,up
Rpn2_Ddit3,Rpn2,Ddit3,up
Qars_Rnf128,Qars,Rnf128,none
Cbfb_C1qb,Cbfb,C1qb,down
Ubr4_Ahnak,Ubr4,Ahnak,up
Hsp90b1_Ms4a6b,Hsp90b1,Ms4a6b,none
Mapk14_Prdx1,Mapk14,Prdx1,down
Wdr48_Hivep2,Wdr48,Hivep2,none
Bop1_Rsad2,Bop1,Rsad2,up
Snx13_Syngr1,Snx13,Syngr1,up
Pfn1_Fap,Pfn1,Fap,none
Igbp1_Gbp5,Igbp1,Gbp5,none
Rbm15_Calr,Rbm15,Calr,none
Acin1_Il15,Acin1,Il15,none
Gins4_Gls,Gins4,Gls,none
Emc7_Tmcc3,Emc7,Tmcc3,up
Smc3_Prdx1,Smc3,Prdx1,none
Paf1_Ifih1,Paf1,Ifih1,none
Cul3_Gbe1,Cul3,Gbe1,up
Atp6v1e1_Pdia3,Atp6v1e1,Pdia3,none
Cog3_Cxcl2,Cog3,Cxcl2,up
Qars_Trib3,Qars,Trib3,up
Aip_Cd63,Aip,Cd63,none
Junb_Carhsp1,Junb,Carhsp1,down
Ylpm1_Fxyd2,Ylpm1,Fxyd2,up
Rc3h1_Gpr137b,Rc3h1,Gpr137b,none
Slc33a1_Igsf6,Slc33a1,Igsf6,none
Fzr1_Dnajc1,Fzr1,Dnajc1,up
Kat8_Pf4,Kat8,Pf4,up
Rpap2_Lipa,Rpap2,Lipa,up
Mcm4_Gclm,Mcm4,Gclm,none
Chmp5_Taldo1,Chmp5,Taldo1,up
Mettl3_Rcl1,Mettl3,Rcl1,none
Ash2l_Slamf6,Ash2l,Slamf6,none
Ddx6_Gbp8,Ddx6,Gbp8,none
Xpo1_Calr,Xpo1,Calr,none
Arid1a_Asph,Arid1a,Asph,none
Mphosph10_Malt1,Mphosph10,Malt1,none
Cop1_Npm1,Cop1,Npm1,down
Rela_Gpr84,Rela,Gpr84,down
Naa35_Hsp90b1,Naa35,Hsp90b1,none
Cog8_Cxcl1,Cog8,Cxcl1,up
Myd88_Prdx1,Myd88,Prdx1,none
Wdr43_Nampt,Wdr43,Nampt,up
Usp9x_Slamf9,Usp9x,Slamf9,down
Exosc7_Vmp1,Exosc7,Vmp1,up
Rragc_Lipa,Rragc,Lipa,up
Ube2m_Folr2,Ube2m,Folr2,none
Rae1_Rgl1,Rae1,Rgl1,none
Zfp710_Med29,Zfp710,Med29,none
Irf9_Ifit3,Irf9,Ifit3,down
Prdm1_Fgl2,Prdm1,Fgl2,down
Hspa4_Mylip,Hspa4,Mylip,up
Mapk14_Ifnb1,Mapk14,Ifnb1,none
Ash2l_Gpx4,Ash2l,Gpx4,none
Sephs1_Saa3,Sephs1,Saa3,none
Clp1_Selenow,Clp1,Selenow,down
Ogdh_Ahnak,Ogdh,Ahnak,none
Prdm1_Sephs2,Prdm1,Sephs2,none
Snx14_Lmna,Snx14,Lmna,none
Toe1_Nucb2,Toe1,Nucb2,none
Il10ra_Rasgef1b,Il10ra,Rasgef1b,up
Lamtor4_Lhfpl2,Lamtor4,Lhfpl2,up
Elavl1_Syngr1,Elavl1,Syngr1,none
Ikzf1_Ppip5k1,Ikzf1,Ppip5k1,none
Sbno2_Bcl2a1a,Sbno2,Bcl2a1a,none
Ddx5_Cd69,Ddx5,Cd69,none
Exoc5_Clec4n,Exoc5,Clec4n,up
Psmd1_Ckb,Psmd1,Ckb,none
Rragc_Syngr1,Rragc,Syngr1,up
Actr2_Ms4a4c,Actr2,Ms4a4c,none
Fermt3_Rell2,Fermt3,Rell2,none
Nckap1l_Upp1,Nckap1l,Upp1,up
Tyrobp_Prdx4,Tyrobp,Prdx4,down
Cpsf4_Ccdc62,Cpsf4,Ccdc62,up
Zfp36_Hsp90b1,Zfp36,Hsp90b1,none
Trappc1_Lbx2,Trappc1,Lbx2,none
Ctcf_Uchl1,Ctcf,Uchl1,up
Chmp5_Procr,Chmp5,Procr,up
Qars_H2-Q7,Qars,H2-Q7,up
Trappc8_Gbf1,Trappc8,Gbf1,up
Med25_Blvrb,Med25,Blvrb,none
Pi4kb_Tlr2,Pi4kb,Tlr2,up
Rps5_Acod1,Rps5,Acod1,down
Ptpn2_Hsp90b1,Ptpn2,Hsp90b1,none
Wtap_Timp2,Wtap,Timp2,none
Cct2_Gm45822,Cct2,Gm45822,none
Leng8_Spsb2,Leng8,Spsb2,none
Mapk14_Ifitm6,Mapk14,Ifitm6,none
Oxsr1_Sqstm1,Oxsr1,Sqstm1,none
Stag2_Zzef1,Stag2,Zzef1,none
Traf2_P2ry14,Traf2,P2ry14,up
Dpm3_Igf1,Dpm3,Igf1,none
Wdr75_Phlda3,Wdr75,Phlda3,none
Rpl10_Brd2,Rpl10,Brd2,up
Psmg4_Il1a,Psmg4,Il1a,none
Nfyc_Hsp90b1,Nfyc,Hsp90b1,down
Rps26_Gpr84,Rps26,Gpr84,down
Nelfa_Kctd12,Nelfa,Kctd12,up
Meaf6_Gpnmb,Meaf6,Gpnmb,none
Exoc5_Ctnnal1,Exoc5,Ctnnal1,none
Mnt_Exosc5,Mnt,Exosc5,up
Atf4_Slamf9,Atf4,Slamf9,down
Sptssa_Fam111a,Sptssa,Fam111a,none
Msto1_Selenow,Msto1,Selenow,none
Rela_Acod1,Rela,Acod1,down
Rb1cc1_Prdx1,Rb1cc1,Prdx1,up
Rps5_Nhej1,Rps5,Nhej1,none
Cfdp1_Cxcl10,Cfdp1,Cxcl10,up
Spout1_Tcf4,Spout1,Tcf4,up
Prdm1_Aif1,Prdm1,Aif1,none
Smarcd2_Msrb1,Smarcd2,Msrb1,down
Bag6_Lztfl1,Bag6,Lztfl1,none
Ric1_Sec24a,Ric1,Sec24a,up
Cog5_Ccl9,Cog5,Ccl9,none
Smg5_Snhg15,Smg5,Snhg15,up
Ogt_Ctsl,Ogt,Ctsl,none
Gins4_Prdx1,Gins4,Prdx1,none
Leng1_Ifit2,Leng1,Ifit2,none
Trappc1_Car9,Trappc1,Car9,none
Dr1_Fcgr4,Dr1,Fcgr4,up
Ddb1_Oasl1,Ddb1,Oasl1,none
Pias1_Shisa3,Pias1,Shisa3,up
Tnfrsf1a_Cd300lb,Tnfrsf1a,Cd300lb,up
Rps3_Gm8369,Rps3,Gm8369,none
Dido1_Gm11613,Dido1,Gm11613,up
Rae1_Cd5l,Rae1,Cd5l,none
Rbm15_Ebi3,Rbm15,Ebi3,none
Ube2h_Ms4a6b,Ube2h,Ms4a6b,none
Rrp1_Manf,Rrp1,Manf,down
Otud5_Nqo1,Otud5,Nqo1,none
Tubg1_Sqstm1,Tubg1,Sqstm1,none
Snrnp27_S100a6,Snrnp27,S100a6,up
Nrbf2_Gclm,Nrbf2,Gclm,up
Ss18_Piezo1,Ss18,Piezo1,none
Cog5_Rnf128,Cog5,Rnf128,none
Msto1_Cxcl14,Msto1,Cxcl14,up
Kat5_S100a6,Kat5,S100a6,down
Actr2_Ccrl2,Actr2,Ccrl2,up
Suz12_Cxcl14,Suz12,Cxcl14,up
Strap_Creg1,Strap,Creg1,none
Med20_Saa3,Med20,Saa3,down
Orc4_Oser1,Orc4,Oser1,none
Junb_Polr2g,Junb,Polr2g,none
Prpf40a_Cd48,Prpf40a,Cd48,down
Atxn7l3_Il1rn,Atxn7l3,Il1rn,none
Alg2_Igf1,Alg2,Igf1,none
Aip_Rapgef5,Aip,Rapgef5,none
Suz12_H2-Ab1,Suz12,H2-Ab1,up
Ptpa_Slamf9,Ptpa,Slamf9,none
Mau2_Trem2,Mau2,Trem2,up
Tnfaip3_Sqstm1,Tnfaip3,Sqstm1,up
Ehmt2_Prdx1,Ehmt2,Prdx1,none
Hyou1_Saa3,Hyou1,Saa3,none
Axin1_Ccl7,Axin1,Ccl7,up
Tbk1_Rsad2,Tbk1,Rsad2,none
Vps72_Carhsp1,Vps72,Carhsp1,none
Cct4_Msrb1,Cct4,Msrb1,down
Srsf10_Resf1,Srsf10,Resf1,none
Dhx15_Marcksl1,Dhx15,Marcksl1,none
Nfkbiz_Mtdh,Nfkbiz,Mtdh,down
Zfp36_Lztfl1,Zfp36,Lztfl1,down
Ctdnep1_Ccl4,Ctdnep1,Ccl4,down
Rbbp6_Cotl1,Rbbp6,Cotl1,none
Gspt1_Cd300a,Gspt1,Cd300a,up
Eif1ad_Clec4n,Eif1ad,Clec4n,none
Smarcd2_Hmox1,Smarcd2,Hmox1,none
Dpm3_Clec4a1,Dpm3,Clec4a1,none
Sec63_Lrmda,Sec63,Lrmda,none
Vhl_Map2k6,Vhl,Map2k6,none
Eftud2_Gapdh,Eftud2,Gapdh,none
Exoc5_Saa3,Exoc5,Saa3,none
Actl6a_Ifi27,Actl6a,Ifi27,up
Prpf6_Ppp1r10,Prpf6,Ppp1r10,up
Telo2_Cd63,Telo2,Cd63,none
Ylpm1_Cd81,Ylpm1,Cd81,up
Mettl3_Clec4n,Mettl3,Clec4n,up
Gpn2_Il7r,Gpn2,Il7r,none
Kars_Cd72,Kars,Cd72,down
Arih1_Gan,Arih1,Gan,down
Pafah1b1_Mir22hg,Pafah1b1,Mir22hg,none
Uvrag_Cst7,Uvrag,Cst7,none
Telo2_Mmp12,Telo2,Mmp12,up
Cpsf4_Slc13a3,Cpsf4,Slc13a3,none
Kras_Racgap1,Kras,Racgap1,none
Vps33a_Rell1,Vps33a,Rell1,none
Tpr_S100a10,Tpr,S100a10,up
Rpp21_Asns,Rpp21,Asns,up
Pfn1_Ifi205,Pfn1,Ifi205,none
Traf2_Gclm,Traf2,Gclm,none
Abi1_Ccrl2,Abi1,Ccrl2,up
Heatr1_Cfp,Heatr1,Cfp,down
Wdr75_Npy,Wdr75,Npy,none
Tpt1_Ms4a6b,Tpt1,Ms4a6b,down
Il10rb_Cd69,Il10rb,Cd69,none
Mta2_Slc16a3,Mta2,Slc16a3,none
Tgif1_Fcgr2b,Tgif1,Fcgr2b,none
Rae1_Tent5a,Rae1,Tent5a,up
Dda1_Dgkd,Dda1,Dgkd,up
Wdr75_Clybl,Wdr75,Clybl,none
Pi4kb_Mir22hg,Pi4kb,Mir22hg,up
Ctcf_Slamf7,Ctcf,Slamf7,down
2310011J03Rik_Cmpk2,2310011J03Rik,Cmpk2,none
Chmp6_Ric3,Chmp6,Ric3,none
Ncbp1_Tspan13,Ncbp1,Tspan13,up
Oxsr1_6530402F18Rik,Oxsr1,6530402F18Rik,none
Kat5_Atf5,Kat5,Atf5,none
Actr10_Gpnmb,Actr10,Gpnmb,up
Rbm15_Litaf,Rbm15,Litaf,none
Ptpn11_Higd1a,Ptpn11,Higd1a,none
Mta2_Hspa1b,Mta2,Hspa1b,up
Arih1_Smpdl3a,Arih1,Smpdl3a,none
Kin_Lmna,Kin,Lmna,up
Cog5_Ifnb1,Cog5,Ifnb1,none
Nfkbiz_Saa3,Nfkbiz,Saa3,down
Cog3_Gja1,Cog3,Gja1,up
Ptpa_Ccnd1,Ptpa,Ccnd1,up
Tirap_Armcx6,Tirap,Armcx6,none
Bloc1s1_Cd36,Bloc1s1,Cd36,none
Tpr_Bcl2l11,Tpr,Bcl2l11,up
Prpf6_Arfgef2,Prpf6,Arfgef2,up
Dync1i2_Gpnmb,Dync1i2,Gpnmb,up
Rpl35_Ctsc,Rpl35,Ctsc,none
Egln1_Gapdh,Egln1,Gapdh,up
Leng1_Manf,Leng1,Manf,none
Klf6_Rgs1,Klf6,Rgs1,up
Cwc25_Sec31a,Cwc25,Sec31a,none
Cog8_Lipa,Cog8,Lipa,up
Tbk1_Rapgef5,Tbk1,Rapgef5,down
Traf3_Ccl6,Traf3,Ccl6,none
Suz12_Cacna1d,Suz12,Cacna1d,up
Pafah1b1_Gpnmb,Pafah1b1,Gpnmb,up
Wdr75_Fcgr2b,Wdr75,Fcgr2b,down
Fth1_Gpr84,Fth1,Gpr84,none
Sec62_Ifrd1,Sec62,Ifrd1,none
Rel_Cd302,Rel,Cd302,none
Traf3_Igf1,Traf3,Igf1,down
Zfp207_Aars,Zfp207,Aars,none
Smc3_St3gal5,Smc3,St3gal5,down
Zfp710_S100a11,Zfp710,S100a11,up
Rcl1_Ctla2a,Rcl1,Ctla2a,up
